ID,Title,Release Date,Run Time,Genre
1536,Moana,14/11/2016,107,Animation
1643,Ice Age: Collision Course,22/07/2016,94,Animation
1135,The Secret Life of Pets,08/07/2016,87,Animation
1131,Finding Dory,17/06/2016,97,Animation
1132,Zootopia,04/04/2016,108,Animation
1504,Sausage Party,14/03/2016,88,Animation
1407,Kung Fu Panda 3,23/01/2016,95,Animation
1126,Inside Out,19/06/2015,94,Animation
