ID,Title,Release Date,Run Time,Genre
1612,Les Misérables,05/12/2012,158,Musical
334,Mamma Mia!,30/06/2008,109,Musical
492,Annie,18/06/1982,128,Musical
517,Grease,16/06/1978,110,Musical
